Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l
0,-0.11830054968595505,0.8891770243644714,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.5,-0.3,0.4000000909396212,0.49999974032945416,-0.2999999418747554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8120695427393266e-07,7.246521704473707e-05
1,-0.11830054968595505,0.8891770243644714,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.5,-0.29,0.40000007924427433,0.4999997561667296,-0.2899999461966801,0.0268082395195961,0.0019977688789367676,0.0317068994045257,0.05294138193130493,0.008849531412124606,0.03710061311721802,0.008432567119598389,2.6197159387242754e-07,6.986352070725843e-05
2,-0.09149231016635895,0.8911747932434082,0.3614462912082672,-0.817137598991394,-0.2582223117351532,-0.5056856870651245,0.5095527172088623,0.4,0.5,-0.27999999999999997,0.4000000745110799,0.49999975752989234,-0.27999994961106456,0.023264341056346893,0.0022047758102416992,0.02935752272605896,0.04875671863555919,0.00936967134475708,0.0352591872215271,0.008439362049102783,2.5861689608804906e-07,6.957076595881517e-05
3,-0.06822796911001205,0.8933795690536499,0.39080381393432617,-0.8658943176269532,-0.2675919830799103,-0.4704264998435974,0.5179920792579651,0.4,0.5,-0.27,0.4000000724649362,0.4999997614108727,-0.26999993944128936,0.02020109072327613,0.002462148666381836,0.027359098196029663,0.0451984405517577,0.009836316108703613,0.03372687101364136,0.008523344993591309,2.5659948571598265e-07,7.015505377694353e-05
4,-0.04802687838673592,0.8958417177200317,0.41816291213035583,-0.9110927581787109,-0.2774282991886139,-0.43669962882995605,0.5265154242515564,0.4,0.5,-0.26,0.4000000687597985,0.49999977285881075,-0.25999992793646304,0.01749175041913987,0.0027610063552856445,0.025615602731704712,0.04210180044174194,0.010267972946166992,0.032422155141830444,0.008661329746246338,2.4802052958997754e-07,6.998861209694951e-05
5,-0.030535127967596054,0.8986027240753174,0.44377851486206055,-0.9531945586204529,-0.2876962721347809,-0.4042774736881256,0.5351767539978027,0.4,0.5,-0.25,0.40000006268796956,0.49999976444971805,-0.24999994252274035,0.015050360932946203,0.003095209598541371,0.02406144142150879,0.039355576038360596,0.01067623496055603,0.03128969669342041,0.008838295936584473,2.504343271720644e-07,6.99052426966773e-05
6,-0.01548476703464985,0.9016979336738588,0.46783995628356934,-0.9925501346588135,-0.2983725070953369,-0.3729877769947052,0.5440150499343872,0.4,0.5,-0.24,0.4000000516805105,0.49999980305406383,-0.23999994535992936,0.012816046364605429,0.0034605860710142933,0.022649794816970825,0.036881327629089355,0.011068791151046753,0.030290335416793823,0.00904393196105957,2.1081772756762747e-07,6.42999826823143e-05
7,-0.002668720670044422,0.905158519744873,0.49048975110054016,-1.0294314622879028,-0.30944129824638367,-0.3426974415779114,0.5530589818954468,0.4,0.5,-0.22999999999999998,0.40000004797772404,0.49999979439314374,-0.2299999416573116,0.010744122788310051,0.0038533806800842285,0.021345704793930054,0.0346224308013916,0.011450529098510742,0.029395341873168945,0.009271025657653809,2.1904317070118774e-07,6.713940462077517e-05
8,0.008075402118265629,0.9090119004249573,0.5118354558944702,-1.0640538930892944,-0.3208918273448944,-0.31330209970474243,0.5623300075531006,0.4,0.5,-0.21999999999999997,0.40000004900866143,0.4999997987154637,-0.21999994180824123,0.008800727315247059,0.004271149635314941,0.020122230052947998,0.03253591060638428,0.01182478666305542,0.02858319878578186,0.00951385498046875,2.151826996736515e-07,6.495416533880416e-05
9,0.016876129433512688,0.9132830500602722,0.5319576859474182,-1.0965898036956787,-0.33271661400794983,-0.28471890091896057,0.5718438625335693,0.4,0.5,-0.21,0.40000004017056323,0.49999982036893625,-0.20999993612418003,0.006959449499845505,0.00471121072769165,0.01895815134048462,0.03058946132659912,0.012193739414215143,0.027837127447128296,0.009768426418304443,1.9483611982234164e-07,6.273929369626785e-05
